date,close,signal,position,regime_label,regime_entropy,predicted_return,gross_return,transaction_cost,strategy_return,lgbm_naive_equity,gross_equity,equity
2021-01-30,34269.5234375,HOLD,0,BULL,0.0,0.0077430568266691,-0.0,0.0,-0.0,0.9657105766104277,1.0,1.0
2021-01-31,33114.359375,HOLD,0,BULL,0.0,0.0062234362091143,0.0,0.0,0.0,0.9779630701766815,1.0,1.0
2021-02-01,33537.17578125,HOLD,0,BULL,0.0,0.0048327412776508,0.0,0.0,0.0,1.0338712031988724,1.0,1.0
2021-02-02,35510.2890625,HOLD,0,BULL,0.0,0.0012299341252228,0.0,0.0,0.0,1.0894664876196427,1.0,1.0
2021-02-03,37472.08984375,HOLD,0,BULL,0.0,0.0042395136053345,-0.0,0.0,-0.0,1.0734745612682244,1.0,1.0
2021-02-04,36926.06640625,HOLD,0,BULL,0.0,-0.0124393408118286,0.0,0.0,0.0,1.0386308079536848,1.0,1.0
2021-02-05,38144.30859375,HOLD,0,BULL,0.0,-0.0033282895181941,0.0,0.0,0.0,1.008528439960151,1.0,1.0
2021-02-06,39266.01171875,HOLD,0,BULL,0.0,-0.0031787889151808,-0.0,0.0,-0.0,1.017884142968913,1.0,1.0
2021-02-07,38903.44140625,HOLD,0,BULL,0.0,-0.0079451267856494,0.0,0.0,0.0,0.8429907175869835,1.0,1.0
2021-02-08,46196.46484375,HOLD,0,BULL,0.0,0.0018508131378916,0.0,0.0,0.0,0.8481688887105889,1.0,1.0
2021-02-09,46481.10546875,HOLD,0,BULL,0.0,0.0026992461162135,-0.0,0.0,-0.0,0.8191587956673391,1.0,1.0
2021-02-10,44918.18359375,HOLD,0,BULL,0.0,0.0012330181600494,0.0,0.0,0.0,0.8719680103972772,1.0,1.0
2021-02-11,47909.33203125,HOLD,0,BULL,0.0,0.0040479568093686,-0.0,0.0,-0.0,0.8645750604382832,1.0,1.0
2021-02-12,47504.8515625,HOLD,0,BULL,0.0,0.0045503549926839,-0.0,0.0,-0.0,0.8572765380269863,1.0,1.0
2021-02-13,47105.515625,HOLD,0,BULL,0.0,0.0033116013070831,0.0,0.0,0.0,0.886118646918802,1.0,1.0
2021-02-14,48717.2890625,HOLD,0,BULL,0.0,0.0054869648015077,-0.0,0.0,-0.0,0.8719600341174134,1.0,1.0
