date,close,high,low,open,volume,log_return,volatility_7,volatility_30,volatility_7_zscore,volatility_30_zscore,momentum_7_adj,momentum_30_adj,rsi_14,vwap_dev_30,vwap_dev_30_zscore,volume_zscore_30,volume_price_imbalance,target_return
2020-02-29,8599.5087890625,8775.6318359375,8599.5087890625,8671.212890625,35792392544,-0.008446835964171201,0.026328058967909896,0.025398495960552922,0.23962021752596843,0.31196702135216653,-4.180893353049858,-3.7657606030683923,34.38516145949592,-0.10724907343493051,-2.105048833878803,-0.6143593753441251,0.00518939286658251,-0.004318240904803676
2020-03-01,8562.4541015625,8726.796875,8471.212890625,8599.7587890625,35349164300,-0.004318240904803676,0.019558579945748226,0.02527241478668962,-1.0304054002140104,0.3131182002215736,-7.016977523854235,-3.3349146391357007,33.89552045653524,-0.1088170103574151,-1.9163931251875237,-0.7411051857700329,0.003200270727954283,0.035250739590151826
2020-03-02,8869.669921875,8921.30859375,8532.630859375,8563.2646484375,42857674409,0.035250739590151826,0.02842843614794435,0.026191114315270835,0.6368329212976593,0.8999152175437445,-2.8450340880221847,-2.1267646427365676,41.3521704732903,-0.0747771018613718,-1.3473145640447297,0.4139616155126723,0.014592453108755767,-0.009274764811755473
2020-03-03,8787.7861328125,8901.5986328125,8704.990234375,8865.3876953125,42386715821,-0.009274764811755473,0.026963019100783973,0.026219403760128223,0.33787406470064835,0.9155822432454416,-2.1991332634859573,-2.271717266817472,40.05525576237573,-0.08125787676860209,-1.3309442533516922,0.2768475044554942,-0.0025676954925461346,-0.0037097436703969933
2020-03-04,8755.24609375,8843.3662109375,8712.431640625,8788.5419921875,34746706368,-0.0037097436703969933,0.016360689534163822,0.026213512539062782,-1.581451249331473,0.9150005472757036,-0.45233486456193267,-2.209525399860431,39.52475366972864,-0.0831228709387465,-1.261015400045424,-1.2230458777479167,0.0045371867035804685,0.03628484201142127
2020-03-05,9078.7626953125,9142.0546875,8757.25390625,8760.28515625,39698054597,0.03628484201142127,0.021442381393929833,0.027043954051811016,-0.7801416978943952,1.3911184702525319,1.5622627660787607,-0.41161700127595957,47.03538731199086,-0.04862769080962271,-0.7716413895801718,-0.3537410996100998,-0.012835439912298905,0.004811004368074786
2020-03-06,9122.5458984375,9167.6953125,9032.0791015625,9078.30859375,40826885651,0.004811004368074786,0.020026680179711626,0.025614540880343675,-1.0405694391533724,0.5555877916425654,2.5914875947479987,-1.9934660366219734,47.977037621549755,-0.04245810613597004,-0.6434585691717134,-0.15817308398091648,-0.0007609713979440491,-0.02357983053034934
2020-03-07,8909.9541015625,9163.220703125,8890.744140625,9121.6005859375,36216930370,-0.02357983053034934,0.022646259512129324,0.025778592160856546,-0.5308209919032374,0.6409966772349266,1.5940978727917572,-3.268661683370156,43.896155985819895,-0.06240296445058662,-0.841108303391033,-1.1469982387625608,0.027046024088630355,-0.09430352876922735
2020-03-08,8108.1162109375,8914.34375,8105.2529296875,8908.2060546875,39973102121,-0.09430352876922735,0.0441713419341238,0.030617257276368996,3.0476479515412174,2.899880882183285,-1.2012685509962462,-5.62749890584929,32.624471755018234,-0.14202467443366415,-1.7244325478834923,-0.38620896733277027,0.03642086846179948,-0.02301429329184435
2020-03-09,7923.64453125,8177.79345703125,7690.09814453125,8111.146484375,46936995808,-0.02301429329184435,0.04000227124314532,0.030657318581923568,2.096126480898176,2.487211107025949,-2.666310262008125,-6.419411466923649,30.673067091319467,-0.15543846473668982,-1.741726773294616,1.1178758924293462,-0.025727123652251216,-0.0017576850801850666
