date,close,high,low,open,volume,log_return,volatility_7,volatility_30,momentum_7,momentum_30,rsi_14,vwap,vwap_deviation,volume_zscore_30,target_return,market_regime,regime_probability,regime_entropy,predicted_return,signal,position_size,strategy_return
2023-03-20,27767.236328125,28527.724609375,27242.880859375,28041.6015625,44774027664,-0.0097280586770752,0.0384114781414921,0.0345870645889413,3569.703125,3125.958984375,70.21095080864595,30862.2010001046,-0.1002833424605428,1.3634231634921588,0.0146072594573107,0,0.998616,0.010503,0.0018657285948617,HOLD,0.0,0.0
2023-03-21,28175.81640625,28439.5625,27439.646484375,27768.392578125,36102192830,0.0146072594573107,0.0384314136312021,0.0344901844664797,3429.7421875,3848.173828125,71.50555741429157,30859.910528248,-0.0869767305236053,0.5518404849927363,-0.0313049347860252,0,0.999631,0.003311,0.0083761138974998,HOLD,0.0,-0.0
2023-03-22,27307.4375,28803.3359375,26759.99609375,28158.720703125,33382021890,-0.0313049347860252,0.041188973910571,0.0349770159256271,2931.4765625,2478.2890625,65.0363090469562,30857.11203436029,-0.1150358637064812,0.2949382383265158,0.0369024309214414,0,0.999393,0.005107,0.009032430577462,HOLD,0.0,0.0
2023-03-23,28333.97265625,28729.84375,27183.36328125,27301.95703125,24220433689,0.0369024309214414,0.0417716863157405,0.0353102284982656,3281.18359375,3897.619140625,68.64738813185932,30855.67072921276,-0.0817255957614081,-0.5004916359608007,-0.0301197331855556,0,0.99948,0.004457,0.0064347662462271,HOLD,0.0,-0.0
2023-03-24,27493.28515625,28388.4375,27039.265625,28324.111328125,25980310960,-0.0301197331855556,0.0298936094180351,0.0357889315921328,69.35546875,3304.44140625,62.916405699421695,30853.61171847929,-0.1089119352667769,-0.3307779971536834,5.171583626720892e-05,0,0.997764,0.016438,0.009892344580309,HOLD,0.0,0.0
2023-03-25,27494.70703125,27791.826171875,27196.234375,27487.337890625,13383005987,5.171583626720892e-05,0.0289398496514718,0.0356972863789661,528.828125,3547.21484375,62.92204379401503,30852.55251077405,-0.1088352569321924,-1.3523961366145387,0.0180084779034715,0,0.974268,0.120343,0.004384409376588,HOLD,0.0,0.0
2023-03-26,27994.330078125,28178.14453125,27445.046875,27495.5234375,13878363192,0.0180084779034715,0.0254327343841173,0.0350993147563591,-44.345703125,4796.203125,64.93919365808867,30851.61813396013,-0.0926138798758809,-1.2384295642272287,-0.0309974400560333,0,0.942944,0.220237,0.0039891605110175,HOLD,0.0,-0.0
2023-03-27,27139.888671875,28037.92578125,26606.689453125,27994.068359375,18188895178,-0.0309974400560333,0.0279073004147023,0.0357350425966394,-627.34765625,3964.513671875,59.02515671697463,30850.028546660287,-0.1202637420310242,-0.889389761103455,0.004714100093914,0,0.950268,0.198613,-0.0044286972996664,HOLD,0.0,0.0
2023-03-28,27268.130859375,27460.71875,26677.818359375,27132.888671875,17783600385,0.004714100093914,0.0270899078371029,0.035671855068079,-907.685546875,3706.91796875,59.61956040906759,30848.52937001304,-0.1160638313643062,-0.9296216986926624,0.0388533993126916,0,0.912095,0.298566,0.0001792929434084,HOLD,0.0,0.0
2023-03-29,28348.44140625,28619.54296875,27259.662109375,27267.03125,20684945906,0.0388533993126916,0.0285364827427122,0.03617959183353,1041.00390625,4825.5703125,64.31572640574893,30847.31285283649,-0.0810077512588495,-0.6771908541729492,-0.0111695987413331,0,0.895879,0.334677,0.0133982554835033,HOLD,0.0,-0.0
2023-03-30,28033.5625,29159.90234375,27720.16015625,28350.140625,22435349951,-0.0111695987413331,0.0252741172953338,0.0360859394443286,-300.41015625,4886.208984375,62.05057194626724,30845.82863436656,-0.091171683785901,-0.5372891611375173,0.0157464148884536,2,0.696545,0.613834,0.0062835575142924,BUY,0.304463399601126,0.004794207008468368
2023-03-31,28478.484375,28639.896484375,27583.71484375,28032.26171875,19001327598,0.0157464148884536,0.0224075557157545,0.0360204363329033,985.19921875,4831.93359375,63.98093059017448,30844.771498501574,-0.0767159881089255,-0.8031913433758348,-0.0023712364214005,2,0.962656,0.159421,0.005287324837519,BUY,0.6029829295040051,-0.001429815083922667
2023-04-01,28411.03515625,28802.45703125,28297.171875,28473.33203125,10876469901,-0.0023712364214005,0.0225157189769781,0.0359684567308223,916.328125,4935.568359375,63.4539804931701,30844.14957647434,-0.0788841467063868,-1.4141998995183238,-0.0074801718449764,2,0.996905,0.020971,0.0136896185017498,BUY,0.6795831438569147,-0.0050833986989990395
2023-04-02,28199.30859375,28518.958984375,27884.087890625,28462.845703125,12284641999,-0.0074801718449764,0.0220580012419337,0.0345597564141847,204.978515625,5836.62890625,61.735144222394425,30843.386424224744,-0.0857259249716514,-1.228908160108416,-0.014613274150394,2,0.99934,0.005496,0.0141245846729441,BUY,0.7312971592648491,-0.010686645873741582
2023-04-03,27790.220703125,28475.623046875,27276.720703125,28183.080078125,19556501327,-0.014613274150394,0.0187062326291183,0.0347716966387948,650.33203125,5436.87109375,58.44116780586305,30841.9846075812,-0.098948363514391,-0.6926502622830155,0.0135055858746378,2,0.99975,0.002323,0.0025107799607107,HOLD,0.0,0.0
2023-04-04,28168.08984375,28433.7421875,27681.3046875,27795.2734375,15284538859,0.0135055858746378,0.0191014647144215,0.0347830728159391,899.958984375,5732.576171875,60.53576808998015,30841.02544879609,-0.0866681819475762,-1.0497674188646342,0.0003512057047058,2,0.999809,0.001825,0.0054231324331277,BUY,0.8416072247010984,0.0002955772584366418
2023-04-05,28177.984375,28739.23828125,27843.763671875,28169.7265625,17052315986,0.0003512057047058,0.0117271832476831,0.0347785247462546,-170.45703125,5748.2265625,60.5917777772997,30839.96012574464,-0.0863157974229177,-0.9044765836478884,-0.0047612573465794,2,0.999987,0.000158,0.001748857446002,HOLD,0.0,-0.0
2023-04-06,28044.140625,28178.384765625,27738.759765625,28175.2265625,13837809380,-0.0047612573465794,0.0110170060220104,0.0347104541931967,10.578125,5824.37109375,59.36441418902479,30839.05281594926,-0.0906289894060493,-1.1196234804723617,-0.0042266008962955,2,0.999991,0.000116,0.0062057257800003,BUY,1.0,-0.0042266008962955
2023-04-07,27925.859375,28111.59375,27794.03125,28038.966796875,10861680497,-0.0042266008962955,0.0085957861661113,0.034308737321696,-552.625,6207.779296875,58.24163186266813,30838.31093390433,-0.094442641983427,-1.290077849181205,0.0007851839396583,2,0.999996,5.6e-05,0.0107054371132361,BUY,1.0,0.0007851839396583
2023-04-08,27947.794921875,28159.86328125,27883.38671875,27920.513671875,9373255556,0.0007851839396583,0.0087040969923812,0.0314867240500017,-463.240234375,7584.7734375,58.39877403576353,30837.675838575586,-0.0937126692630176,-1.310378315011941,0.0136906925289077,2,0.999996,5.4e-05,0.0086628760922215,BUY,1.0,0.0136906925289077
2023-04-09,28333.05078125,28532.830078125,27828.48046875,27952.3671875,12175322951,0.0136906925289077,0.010177254662727,0.0312799522843858,133.7421875,8145.806640625,61.16304063618176,30836.96122319049,-0.0811983523220005,-1.0283691989552095,0.0455336467573902,2,0.999989,0.00014,0.0042505577228409,HOLD,0.0,0.0
2023-04-10,29652.98046875,29771.46484375,28189.271484375,28336.02734375,19282400094,0.0455336467573902,0.0177158412209001,0.0318495063690717,1862.759765625,9020.5703125,68.80981075926785,30836.42646347303,-0.0383781822489992,-0.4668693870072835,0.0194394895643321,2,0.997919,0.01493,0.0099016689618364,BUY,0.9803310172840918,0.019057134580085174
2023-04-11,30235.05859375,30509.083984375,29609.30078125,29653.6796875,20121259843,0.0194394895643321,0.018090392978748,0.0298494752020703,2066.96875,8071.109375,71.47694018836444,30836.14316534644,-0.0194928583763983,-0.3807467368630773,-0.0031803678161343,2,0.999724,0.002535,-0.0113333496697622,HOLD,0.0,-0.0
